assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
123198028,123197987,Drepanosticta drusilla,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,Dow 2012,PreservedSpecimen,2006.0,109.683,1.8
123525537,123523144,Drepanosticta hamulifera,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,van Tol 2007,PreservedSpecimen,1989.0,121.95763,-5.264381
123525562,123523486,Drepanosticta marsyas,4,1,1,R.A. Dow,2017,R.A. Dow,Possibly Extinct,,, , ,,Donnelly 1998,PreservedSpecimen,1998.0,101.385,4.465
123525602,123524437,Drepanosticta quadrata,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,Murphy 1997,PreservedSpecimen,,103.78813,1.37732
123526246,190839,Protosticta satoi,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,Phan & Kompier 2016,PreservedSpecimen,,104.35,21.733
123529997,123526472,Protosticta himalaiaca,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,Fraser 1933,PreservedSpecimen,,88.381,26.97
123530002,123526611,Protosticta kinabaluensis,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,Various (see assessment),PreservedSpecimen,2012.0,116.543,6.0059
123530077,123529311,Telosticta fugispinosa,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,Dow et al 2016,PreservedSpecimen,2012.0,116.1386,5.8583
123530092,123529398,Telosticta janeus,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,Dow & Orr 2012,PreservedSpecimen,1987.0,117.66667,4.91667
123530107,123529582,Telosticta santubong,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,Dow & Orr 2012,PreservedSpecimen,2006.0,110.32556,1.74041
123674269,123669218,Nothogeophilus turki,1,1,1,Craig Macadam,2021,British Myriapod and Isopod Group,Extant (resident),,,,,,"Lewis, Jones & Keay (1988)",HumanObservation,1985.0,-6.3364916,49.945025
123674274,123669528,Anthogona britannica,1,1,1,Craig Macadam,2021,British Myriapod and Isopod Study Group,Extant (resident),,,,,,,HumanObservation,1956.0,-3.8014042,50.299981
123674284,123670403,Psylliodes luridipennis,1,1,1,Craig Macadam,2021,Seed and Leaf Beetle Recording Scheme,Extant (resident),,,,,,,HumanObservation,1986.0,-4.6764747,51.173583
123674294,123670775,Halobrecta princeps,1,1,1,Craig Macadam,2021,Natural England Invertebrate Site Register,Extant (resident),,,,,,,HumanObservation,1998.0,0.91542504,51.330679
123674304,123671000,Thinobius newberyi,1,1,1,Craig Macadam,2021,Natural Resources Wales,Extant (resident),,,,,,Fowles (2018),HumanObservation,1904.0,-2.699913,54.707992
123674314,123671476,Poecilobothrus majesticus,5,1,1,Craig Macadam,2021,"Drake, M.",Extinct,,,,,,Drake (2018),HumanObservation,1907.0,1.2807144,51.85979
123674334,123672002,Cixius caledonicus,4,1,1,Craig Macadam,2021,Auchenorrhyncha Recording Scheme for Britain and Ireland,Possibly Extinct,,,,,,China (1942),HumanObservation,1937.0,-2.9578355,55.766604
123674364,123672975,Ceratophyllus fionnus,1,1,1,Craig Macadam,2022,Usher [1968],Extant (resident),,,,,,Usher 1968,HumanObservation,1975.0,-6.2962759,56.972325
124132630,187245,Austrolebias viarius,1,1,1,,0,,Extant (resident), , ,, , , ,,,-54.884444,-33.738611
124285510,12400,Lucifuga subterranea,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.oebdeq,PRESERVED_SPECIMEN,0.0,-82.807357,22.742189
124286091,46104013,Atractosteus tristoechus,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.cwsn99,HUMAN_OBSERVATION,2020.0,-81.057869,22.076238
124286958,53876934,Anablepsoides cryptocallus,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Biotope 2020,PRESERVED_SPECIMEN,2019.0,-61.06972,14.70055
125504237,125503739,Idiocnemis nigriventris,1,1,1,S.J. Richards,2018,S.J. Richards,Extant (resident),,,,,,Gassmann 2000,PreservedSpecimen,0.0,140.718,-2.534
125518848,125518791,Palaiargia traunae,1,1,1,S.J. Richards,2018,S.J. Richards,Extant (resident),,,,,,Orr & Richards 2014,PreservedSpecimen,0.0,144.2371,-5.4853
125519043,125518989,Rhyacocnemis sufficiens,1,1,1,S.J. Richards,2018,S.J. Richards,Extant (resident),,,,,,Lieftinck 1956-202,PreservedSpecimen,0.0,150.24288,-9.35274
125536549,9311,Phanogomphus hodgesi,1,1,1,OdonataCentral,2017,OdonataCentral,Extant (resident),,, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata.,,,Abbott,,1974.0,-87.01638,30.69603
125885993,20515,Argynnis idalia,1,1,1,"Walker, A.",2021,New Mexico BioPark Society,Extant (resident),idalia,,,,,"GBIF, 2021",PreservedSpecimen,1922.0,-78.110834,38.245411
125886048,125854891,Atrytone arogos,1,1,1,"Walker, A.",2021,New Mexico BioPark Society,Extant (resident),iowa,,,,,"GBIF, 2021",HumanObservation,2016.0,-100.0173,36.0739
125886063,125855083,Hesperia ottoe,1,1,1,"Walker, A.",2021,New Mexico BioPark Society,Extant (resident),,,,,,"GBIF, 2021",HumanObservation,1996.0,-105.084423,40.58526
125922449,125922413,Ancistrus trinitatis,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,"De Souza et al. 2019, Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.sgsdxg",HUMAN_OBSERVATION,2018.0,-61.225795,10.668482
125922850,125922809,Cubanichthys pengelleyi,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.x678dn,PRESERVED_SPECIMEN,0.0,-77.846679,18.023088
125963384,125961752,Gambusia pseudopunctata,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.mgup9n,HUMAN_OBSERVATION,2019.0,-73.884301,18.297706
125963394,125962259,Gambusia wrayi,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,"Lee et al. 1983, Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.99dc8x",PRESERVED_SPECIMEN,0.0,-77.660162,18.072298
125963399,125962361,Gambusia xanthosoma,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.wqwxdk,PRESERVED_SPECIMEN,1980.0,-81.392119,19.383185
125986553,125979553,Limia caymanensis,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.3ygmx5,PRESERVED_SPECIMEN,0.0,-81.257381,19.328312
125986558,125979602,Poecilia dominicensis,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.nuezss,PRESERVED_SPECIMEN,0.0,-70.476622,19.160978
125986563,125979665,Poecilia elegans,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.nuezss,HUMAN_OBSERVATION,2016.0,-70.288543,18.896895
125986578,125979756,Limia grossidens,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.s3damb,PRESERVED_SPECIMEN,0.0,-73.061848,18.39259
125986593,125979910,Limia melanogaster,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.vwnd5t,PRESERVED_SPECIMEN,0.0,-77.5,18.25
125986608,125980226,Limia nigrofasciata,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.dfxd3v,HUMAN_OBSERVATION,2019.0,-73.049722,18.403889
125986618,125980547,Limia ornata,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.u4fv34,PRESERVED_SPECIMEN,1951.0,-73.061848,18.39259
125986638,125981966,Limia sulphurophila,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.chaunw,HUMAN_OBSERVATION,2019.0,-71.57003,18.397761
125986643,125982185,Limia versicolor,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.d4y5h9,PRESERVED_SPECIMEN,0.0,-70.208182,18.720303
125986653,125986113,Limia yaguajali,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Rivas 1980,PRESERVED_SPECIMEN,1949.0,-71.352443,19.471636
125986658,125986415,Limia zonata,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.6n7dvj,HUMAN_OBSERVATION,2018.0,-70.316652,18.834711
125987881,178290336,Lucifuga dentata,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.nbvff9,PRESERVED_SPECIMEN,0.0,-83.516667,22.433333
125987886,125987809,Nandopsis ramsdeni,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.n9b834,PRESERVED_SPECIMEN,0.0,-75.259007,20.026724
125989542,125989524,Quintana atrizona,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.smr9a3,PRESERVED_SPECIMEN,1916.0,-82.730576,21.886122
125990580,125989582,Rivulus berovidesi,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,"Ponce de Leon et al. 2014, Rodriguez Silva 2015",PRESERVED_SPECIMEN,0.0,-84.29277778,22.42805556
125990585,125990534,Rivulus roloffi,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.p5f4qc,PRESERVED_SPECIMEN,0.0,-70.476622,19.160978
125992059,125991676,Hemibrycon taeniurus,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility https://doi.org/10.15468/dl.w1o1yq,PRESERVED_SPECIMEN,0.0,-61.381836,10.435179
125992064,125991772,Hyphessobrycon axelrodi,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility https://doi.org/10.15468/dl.kg0486,PRESERVED_SPECIMEN,1958.0,-61.33,10.58
126256811,193259,Etheostoma segrex,1,1,1,Arcadio Valdes,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,"Arcadio Valdes pers comms, 2019", ,,-101.665708,27.043969
126813586,2811,Birgus latro,1,1,1,Neil Cumberlidge,2020,IUCN,Extant (resident),,,,,,,,0.0,-178.701875,-18.324809
127918276,15141984,Schistura afasciata,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,72.076,34.75
128306875,157085,Xerosecta explanata,1,1,1,D. Allen,2019,IUCN European Red List / Mollusc Specialist Group,Extant (resident), , ,, ,,A. López Alabau / Vincent Prie, ,0.0,-0.203555,39.04959869
128718032,128718019,Barilius naseeri,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,72.233984,33.236024
128718599,128718583,Clupisoma naziri,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,70.844583,30.516475
128722526,128722497,Garra wanae,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,69.3,32.20693
128723342,128723334,Glyptothorax sufii,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,71.2,33.573
128723632,128723603,Mystus horai,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,70.656873,30.692835
128723664,128723659,Nangra robusta,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,71.375378,32.472999
128723713,128723701,Naziritor zhobensis,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,69.206576,31.074198
128723789,128723728,Paraschistura alepidota,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,70.319,33.727
128723871,128723830,Paraschistura lepidocaulis,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,70.09,33.89
128724291,128724058,Paraschistura microlabra,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,71.263,34.021
128724336,128724324,Paraschistura naseeri,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,71.804,34.761
128724401,128724377,Paraschistura prashari,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,71.255,34.552
128724507,128724472,Paraschistura punjabensis,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,70.274,31.977
128724681,128724669,Puntius waageni,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,72.973732,32.718908
128724802,128724786,Schistura curtistigma,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,70.632,32.994
128725012,128724945,Schistura harnaiensis,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,67.937,30.093
128725199,128725184,Schistura kohatensis,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,69.795,31.978
128725319,128725247,Schistura machensis,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,67.317,29.897
128725361,128725353,Schistura macrolepis,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,69.986,29.932
128725438,128725392,Schistura pakistanica,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,67.73,30.81
128725635,128725538,Schizothorax esocinus,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,71.77538,35.7703
128725880,128725876,Schizothorax skarduensis,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,75.467,35.439
128727255,128727229,Tariqilabeo macmahoni,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,62.005601,25.481976
128727281,128727269,Triplophysa brahui,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,61.595,30.787
129691134,6623,Dionda diaboli,1,1,1,Andrew H. Price; Gary Garrett; Gary P. Garrett,2018,"Fishes of Texas Project Database (Version 2.0), IUCN",Extant (resident), , , , , ,"Hendrickson, Dean A., and Adam E. Cohen. 2015. “Fishes of Texas Project Database (Version 2.0)” doi:10.17603/C3WC70. (Accessed 11/03/19)", ,1997.0,-100.8719963,29.40692049
129976217,8115,Etheostoma grahami,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-100.16,25.3725
129984928,9185,Gila ditaenia,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-111.71,30.75138889
129986215,9189,Gila nigrescens,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-108.08,30.30833333
129986857,9190,Gila purpurea,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-110.28,30.68333333
129987081,62201,Gila robusta,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-109.0,31.25
130012248,10770,Ictalurus pricei,3,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Possibly Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-109.97,27.66666667
130025243,14896,Notropis simus,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-106.51,31.76111111
130050933,39285,Tiaroga cobitis,4,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Possibly Extinct, , , , , ,T. Contreras McBeath 2014, ,,-110.63,31.01666667
130199481,191262,Dionda argentosa,1,1,1,Allan H. Chaney,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Marcelo Tognelli, ,,-101.5732119,30.12924542
130988927,130988902,Xenotoca doadrioi,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Domínguez-Domínguez, ,2016.0,-104.1978,20.7378
130988970,130988955,Xenotoca lyonsi,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2016.0,-103.201,19.7236
132613357,132611796,Astyanax ocotal,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto 2017, ,,-92.29,17.499
132630758,132629372,Astyanax salvatoris,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto 2017, ,,-97.565,17.686
132642105,132641185,Astyanax tehuacanensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , ,Type locality,Schmitter-Soto 2017, ,,-97.2,18.25
132661786,132660462,Rhamdia macuspanensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , ,Type locality,Weber & Wilkens 1998, ,,-92.473,17.621
132675647,132675480,Rhamdia laluchensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , ,Type locality,Weber et al. 2003, ,,-93.89,17.061
133764334,133764299,Profundulus mixtlanensis,1,1,1,Patricia Ornelas-García,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , ,, ,,"Ornelas-García, C. P., Martínez-Ramírez, E., & Doadrio, I. (2015). A new species of killifish of the family Profundulidae from the highlands of the Mixteca region, Mexico. Revista Mexicana de Biodiversidad, 86(4), 926-933.",Collection,2018.0,-98.010556,17.319722
133906221,133906189,Profundulus balsanus,1,1,1,W. Matamoros,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,Dr. Wilfredo, ,,-97.13333,16.11667
135388540,135388530,Astyanax tamiahua,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto 2017, ,,-96.852,20.179
135431633,135431246,Libellago phaethon,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident), , ,, ,,Donnelly 1997,PreservedSpecimen,1997.0,118.07498,5.52996
135433193,163720,Archibasis rebeccae,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Choong 2014,PreservedSpecimen,2013.0,102.176,3.7161
135433713,163811,Amphicnemis pandanicola,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Dow & Silvius 2014,PreservedSpecimen,2012.0,114.056,-1.936
135433841,122150289,Amphicnemis billitonis,4,1,1,R.A. Dow,2018,R.A. Dow,Possibly Extinct,,,,, ,Lieftinck 1940,PreservedSpecimen,1935.0,107.23181,-2.99519
135433851,122150300,Amphicnemis ecornuta,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,"Dow, Choong & Ng 2010",PreservedSpecimen,2006.0,103.879,1.823
135433866,122150342,Amphicnemis hoisen,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,"Dow, Choong & Ng 2010",PreservedSpecimen,2009.0,103.24127,3.28598
135433871,122150345,Amphicnemis kuiperi,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Alfarisyi 2018,PreservedSpecimen,2017.0,107.404274,-2.847304
135433876,122150358,Amphicnemis mariae,4,1,1,R.A. Dow,2018,R.A. Dow,Possibly Extinct,,,,, ,Lieftinck 1940,PreservedSpecimen,1937.0,117.885143,0.831883
135433881,122150365,Amphicnemis remiger,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Dow & Reels 2008,PreservedSpecimen,2005.0,114.81362,4.04375
135435336,135434027,Teinobasis euglena,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Dow 2010,PreservedSpecimen,1931.0,108.949,-7.625
135435386,135434974,Teinobasis pretiosa,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Lieftinck 1935,PreservedSpecimen,1873.0,135.634,-0.875
135435396,135435076,Teinobasis ruficollis,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Choong 2013,PreservedSpecimen,2013.0,101.3458,3.64
135436717,135435607,Elattoneura aurantiaca,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Choong & Cheah 2013,PreservedSpecimen,2012.0,103.183,1.867
135436722,135436628,Elattoneura coomansi,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Dow 2016,PreservedSpecimen,2015.0,109.598,1.931
135436732,135436679,Elattoneura longispina,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Choong 2008,PreservedSpecimen,2006.0,103.879,1.823
135437277,163682,Prodasineura abbreviata,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Dow & Silvius 2014,PreservedSpecimen,2012.0,114.987,-1.741
135437719,135437025,Prodasineura haematosoma,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Dow 2012,PreservedSpecimen,2006.0,109.839,1.698
136801577,136801573,Batasio pakistanicus,1,1,1,Zoo Outreach Organization (ZOO),2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,71.380568,32.499182
137390841,163740,Heliogomphus kelantanensis,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Laidlaw 1902a,PreservedSpecimen,0.0,102.0747,4.8991
137390966,163716,Ictinogomphus acutus,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Dow et al 2012,PreservedSpecimen,2009.0,103.24127,3.28598
137391137,163785,Linaeschna polli,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Kitagawa 1999,PreservedSpecimen,1997.0,116.01739,5.48754
137391859,163600,Pericnemis triangularis,4,1,1,R.A. Dow,2018,R.A. Dow,Possibly Extinct,,,,, ,Laidlaw 1931,PreservedSpecimen,1927.0,117.853,5.774
137454032,167476,Euthygomphus parvus,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Butler & Kohler 2013,PreservedSpecimen,2002.0,99.78832,6.36393
137454211,190789,Macrogomphus thoracicus,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,,,, ,Asahina 1993,PreservedSpecimen,0.0,100.27118,6.9283
138267615,29599,Rhinocypha latimacula,1,1,1,R.A. Dow,2019,R.A. Dow,Extant (resident), , ,, ,,Lieftinck 1974,PreservedSpecimen,1957.0,119.87275,5.08602
138267673,168029,Luzonobasis glauca,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident), , ,, ,,Villanueva 2012,PreservedSpecimen,0.0,121.38382,18.15792
138267915,169292,Coeliccia brachysticta,1,1,1,Rory Dow,2019,R.A. Dow,Extant (resident), , ,, ,,Laidlaw 1932,PreservedSpecimen,0.0,121.32168,13.1868
138281651,163593,Tetrathemis flavescens,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident), , ,, ,,Cleary et al 2004,PreservedSpecimen,2000.0,116.35,-0.95
138283646,163808,Acrogomphus malayanus,1,1,1,R.A. Dow,2019,R.A. Dow,Extant (resident), , ,, ,,Butler & Kohler 2013,PreservedSpecimen,2002.0,99.78832,6.36393
139086821,163705,Oligoaeschna platyura,1,1,1,R.A. Dow,2019,R.A. Dow,Extant (resident), , ,, ,,Orr 2001,PreservedSpecimen,1990.0,114.7333,4.75
139087902,163776,Planaeschna chiengmaiensis,1,1,1,H. Zhang & R.A. Dow,2020,"Zhang, H. and Dow, R.A.",Extant (resident),,,,,,Asahina 1981,PreservedSpecimen,,98.98468,18.79038
139118137,139064573,Gynacantha cattienensis,1,1,1,R.A. Dow,2019,IUCN SSC Dragonfly Specialist Group,Extant (resident),,,,,,Kompier & Holden 2017,PreservedSpecimen,0.0,107.4053208,11.44406
139118162,139064639,Gynacantha limbalis,1,1,1,R.A. Dow,2019,R.A. Dow,Extant (resident), , ,, ,,Aziz et al 2018,PreservedSpecimen,2017.0,103.75557,2.55263
139118172,139064651,Gynacantha musa,1,1,1,R.A. Dow,2019,R.A. Dow,Extant (resident), , ,, ,,Kishi 1999,PreservedSpecimen,1988.0,114.617,-8.357
139118368,139069191,Cephalaeschna algorei,1,1,1,R.A. Dow & T. Kompier,2020,IUCN SSC Dragonfly Specialist Group,Extant (resident),,,,,,Karube & Kompier 2017,PreservedSpecimen,2015.0,104.28,21.74
139118378,139069205,Cephalaeschna chaoi,1,1,1,H. Zhang & R.A. Dow,2020,"Zhang, H. and Dow, R.A.",Extant (resident),,,,,,Asahina 1982,PreservedSpecimen,1938.0,117.66667,27.66667
139118448,139069649,Heliaeschna bartelsi,1,1,1,R.A. Dow,2019,R.A. Dow,Extant (resident), , ,, ,,Dow et al 2019,PreservedSpecimen,2009.0,113.1185,2.9391
139118453,139069705,Indaeschna baluga,1,1,1,R.A. Dow,2019,R.A. Dow,Extant (resident), , ,, ,,Needham & Gyger 1937,PreservedSpecimen,1933.0,121.4925,14.06751
